sample_id,fastq_path
SRR12519267,s3://tep-umc-renovaro/SRR12519267/Vumc-GBM-485-TR1365_ATTCCT_L008_R1_001.fastq.gz
SRR12519242,s3://tep-umc-renovaro/SRR12519242/Vumc-GBM-378-TR1347_CGATGT_L001_R1_001.fastq.gz
